CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02;Impostos, Taxas e Contribuições;-768.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.01;Federais;-8266.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.01;Federais;-15748.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.02;Estaduais;33700.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.02;Estaduais;14884.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.03;Municipais;33.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.03;Municipais;96.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03;Remuneração de Capitais de Terceiros;477218.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03;Remuneração de Capitais de Terceiros;570648.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.01;Juros;161715.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.01;Juros;204068.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.02;Aluguéis;108543.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.02;Aluguéis;130662.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.03;Outras;206960.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.03;Outras;235918.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.03.01;Outras;41883.0000000000;N
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.03.01;Outras;39411.0000000000;N
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.03.02;Variação cambial e despesa com derivativos;165077.0000000000;N
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.03.02;Variação cambial e despesa com derivativos;196507.0000000000;N
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.04;Remuneração de Capitais Próprios;195085.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.04;Remuneração de Capitais Próprios;78632.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.04.01;Juros sobre o Capital Próprio;0.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.04.01;Juros sobre o Capital Próprio;0.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.04.02;Dividendos;0.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.04.02;Dividendos;0.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.04.03;Lucros Retidos / Prejuízo do Período;195085.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.04.03;Lucros Retidos / Prejuízo do Período;78632.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.04.04;Part. Não Controladores nos Lucros Retidos;0.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.04.04;Part. Não Controladores nos Lucros Retidos;0.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.05;Outros;0.0000000000;S
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;021709;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.05;Outros;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.01;Receitas;203801698.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.01;Receitas;258353118.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.01.01;Vendas de Mercadorias, Produtos e Serviços;203423877.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.01.01;Vendas de Mercadorias, Produtos e Serviços;257802116.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.01.02;Outras Receitas;389969.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.01.02;Outras Receitas;580144.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.01.03;Receitas refs. à Construção de Ativos Próprios;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;-12148.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;-29142.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02;Insumos Adquiridos de Terceiros;-175647068.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02;Insumos Adquiridos de Terceiros;-224983685.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.01;Custos Prods., Mercs. e Servs. Vendidos;-173606956.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.01;Custos Prods., Mercs. e Servs. Vendidos;-220402503.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.02;Materiais, Energia, Servs. de Terceiros e Outros;-3318229.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.02;Materiais, Energia, Servs. de Terceiros e Outros;-4420211.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.03;Perda/Recuperação de Valores Ativos;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.03;Perda/Recuperação de Valores Ativos;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04;Outros;1278117.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04;Outros;-160971.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04.01;Mudança no valor justo dos estoques - Hedge de valor justo;-55876.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04.01;Mudança no valor justo dos estoques - Hedge de valor justo;5145.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04.02;Outros;-40531.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04.02;Outros;22693.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.02.04.03;Ganho líq. decorrente de mudança de vlr. justo e realiz. de mais/menos valia dos ativos biológicos;1374524.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.02.04.03;Ganho líq. decorrente de mudança de vlr. justo e realiz. de mais/menos valia dos ativos biológicos;-188809.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.03;Valor Adicionado Bruto;28154630.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.03;Valor Adicionado Bruto;33369433.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.04;Retenções;-6369468.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.04;Retenções;-8653478.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.04.01;Depreciação, Amortização e Exaustão;-6369468.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.04.01;Depreciação, Amortização e Exaustão;-8653478.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.04.02;Outras;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.04.02;Outras;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.05;Valor Adicionado Líquido Produzido;21785162.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.05;Valor Adicionado Líquido Produzido;24715955.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06;Vlr Adicionado Recebido em Transferência;4941908.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06;Vlr Adicionado Recebido em Transferência;2194894.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.01;Resultado de Equivalência Patrimonial;-63050.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.01;Resultado de Equivalência Patrimonial;-130092.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.02;Receitas Financeiras;575473.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.02;Receitas Financeiras;819660.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.03;Outros;4429485.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.03;Outros;1505326.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.03.01;Ganho com variações cambiais;3267417.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.03.01;Ganho com variações cambiais;909428.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.03.02;Ganho em operações com derivativos;1029781.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.03.02;Ganho em operações com derivativos;438570.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.06.03.03;Outros valores recebidos em transferência;132287.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.06.03.03;Outros valores recebidos em transferência;157328.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.07;Valor Adicionado Total a Distribuir;26727070.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.07;Valor Adicionado Total a Distribuir;26910849.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08;Distribuição do Valor Adicionado;26727070.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08;Distribuição do Valor Adicionado;26910849.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.01;Pessoal;3425437.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.01;Pessoal;4543957.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.01.01;Remuneração Direta;2810703.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.01.01;Remuneração Direta;3563642.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.01.02;Benefícios;457815.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.01.02;Benefícios;752864.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.01.03;F.G.T.S.;156919.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.01.03;F.G.T.S.;227451.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.01.04;Outros;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.01.04;Outros;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02;Impostos, Taxas e Contribuições;13210888.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02;Impostos, Taxas e Contribuições;12873147.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.01;Federais;9933488.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.01;Federais;10282699.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.02;Estaduais;3260520.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.02;Estaduais;2559977.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.03;Municipais;16880.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.03;Municipais;30471.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03;Remuneração de Capitais de Terceiros;6841182.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03;Remuneração de Capitais de Terceiros;6990419.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.01;Juros;1812955.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.01;Juros;3938084.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.02;Aluguéis;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.02;Aluguéis;0.0000000000;S
